code,name,date,cumulative_cases,incidence,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),slope,slopeLowerCi,slopeUpperCi,r_squared
E10000024,Nottinghamshire,2020-03-07,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000004,Oldham,2020-03-07,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000025,Oxfordshire,2020-03-07,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000031,Peterborough,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000026,Plymouth,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000044,Portsmouth,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000038,Reading,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000026,Redbridge,2020-03-07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000003,Redcar and Cleveland,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000027,Richmond upon Thames,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000005,Rochdale,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000018,Rotherham,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000017,Rutland,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000006,Salford,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000028,Sandwell,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000014,Sefton,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000019,Sheffield,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000051,Shropshire,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000039,Slough,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
